match_id,champion,kills,deaths,assists,combat_events,all_fights,my_fights,fight_wins,fight_evens,fight_losses,survived_fights,died_fights,small_fights,skirmishes,teamfights,early_fights,mid_fights,late_fights,objective_before_gain,objective_before_loss,objective_during_gain,objective_during_loss,objective_after_gain,objective_after_loss
JP1_566911312,Lissandra,1,6,1,8,20,7,1,0,6,1,6,3,2,2,1,6,0,0,1,0,1,1,4
JP1_566915730,Lissandra,0,2,0,2,16,2,0,0,2,0,2,0,1,0,0,2,0,0,1,0,1,0,1
JP1_566920086,Galio,8,7,27,42,38,17,9,2,6,10,7,3,2,12,0,4,13,1,2,1,0,1,3
JP1_566926199,Galio,0,1,2,3,18,2,1,0,1,1,1,0,1,1,1,0,1,0,1,0,0,1,0
JP1_567011863,Janna,0,2,10,12,17,8,5,2,1,6,2,2,5,1,2,5,1,4,0,2,0,2,1
JP1_567022722,Janna,0,4,2,6,26,6,2,0,4,2,4,2,1,0,4,2,0,2,0,0,0,1,1
JP1_567027672,Janna,0,5,7,12,25,9,4,2,3,4,5,5,3,1,4,5,0,0,1,0,0,0,2
JP1_567032770,Janna,0,4,4,8,31,8,3,0,5,4,4,5,1,2,5,3,0,0,1,0,1,0,2
JP1_567036820,Janna,0,3,2,5,17,4,1,1,2,1,3,2,1,1,2,1,1,0,0,1,0,0,1
JP1_567076263,Malphite,1,8,2,11,29,9,1,2,6,1,8,2,2,1,3,2,4,1,3,0,1,0,2
JP1_567087882,Morgana,6,13,13,32,41,22,10,2,10,9,13,9,8,5,4,7,11,3,2,1,2,3,6
JP1_567105103,Morgana,2,8,2,12,19,10,2,1,7,2,8,2,7,0,1,5,4,1,2,0,0,1,3
JP1_567113669,Nami,1,5,18,24,30,12,7,1,4,7,5,5,1,5,6,5,1,3,0,1,0,2,0
JP1_567132238,Morgana,2,9,11,22,27,14,6,1,7,5,9,6,3,5,3,5,6,0,4,0,1,0,7
JP1_568318493,Zyra,0,3,0,3,13,3,0,0,3,0,3,1,2,0,2,1,0,0,0,0,0,0,2
JP1_569357665,Galio,0,6,1,7,24,7,1,0,6,1,6,2,1,3,4,3,0,2,1,0,0,0,2
